ARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
THROTTLE RATE CMD #2,S,12,3,242,0,0,DEG/SEC,+/-16,0.03125,N/A
THROTTLE RATE CMD #1,S,12,3,114,0,0,DEG/SEC,+/-16,0.03125,N/A
THR SERVO MOTOR TACH #2,,12,3,243,0,0,DEG/SEC,0-16,0.015625,N/A
THR SERVO MOTOR TACH #1,,12,3,115,0,0,DEG/SEC,0-16,0.015625,N/A
THR TORQUE #2,S,12,4,244,0,0,IN-OZ,+/-32,0.125,N/A
THR TORQUE #1,S,12,4,116,0,0,IN-OZ,+/-32,0.125,N/A
DISTANCE TO GO (WPT),,7,5,192,1,5,NM,0-7000,1000,
DISTANCE TO GO (WPT),,4,1,192,1,5,NM,0-900,100,
DISTANCE TO GO (WPT),,12,9,192,1,6,NM,0-90,10,
DISTANCE TO GO (WPT),,8,5,192,1,6,NM,0-9,1,
DISTANCE TO GO (WPT),,4,1,192,1,6,NM,0-0.9,0.1,
DESTINATION ETA HOURS,,7,5,192,1,15,HR,0-70,10,
DESTINATION ETA HOURS,,4,1,192,1,15,HR,0-9,1,
DESTINATION ETA MINUTES,,12,9,192,1,16,MIN,0-50,10,
DESTINATION ETA MINUTES,,8,5,192,1,16,MIN,0-9,1,
DESTINATION ETA MINUTES,,4,1,192,1,16,MIN,0-0.9,0.1,
GROSS WEIGHT,,12,1,256,4,14,LBS,0-163840,40,N/A
FMC ALTITUDE SELECTED,,12,1,27,0,0,FT,0-65536,16,50
FMC AIRSPEED SELECTED,,12,2,57,0,0,KT,0-512,0.25,0.5
VERT SPEED CMD,S,12,1,60,0,0,FT/MIN,+/-16384,8,40
FMC MACH SELECTED,,12,1,58,0,0,MACH,0-4.096,0.001,N/A
GMT HRSx10,,12,10,51,4,10,HR,0-70,10,
GMT HRSx1.0,,12,9,51,4,9,HR,0-9,1,
GMT MINx10,,12,9,51,4,8,MIN,0-50,10,
GMT MINx1.0,,12,9,51,4,7,MIN,0-9,1,
GMT MINx0.1,,12,9,51,4,6,MIN,0-0.9,0.1,
RSVD FOR GMT,,12,8,192,1,15,,NA,0,
RSVD FOR GMT,,6,1,51,4,16,,NA,0,
RSVD FOR GMT,,12,7,51,4,16,,NA,0,
FMC STATIC AIR TEMP,S,12,3,206,4,0,DEG C,+/-128,0.25,+/-1
FMC SELECTED TEMP,S,12,3,183,1,0,DEG C,+/-128,0.25,+/-1
DISTANCE TO GO,,12,1,256,4,6,NM,0-4096,1,N/A
FLIGHT NUMBER MSDigit,,11,8,192,1,14,X 1000,0-9,1,
FLIGHT NUMBER LSDigit + 2,,11,8,192,1,13,X 100,0-9,1,
FLIGHT NUMBER LSDigit + 1,,11,8,192,1,12,X 10,0-9,1,
FLIGHT NUMBER LSDigit,,11,8,192,1,11,X 1,0-9,1,
NDB EFFECTIVITY DAY,,7,6,192,3,15,DAYS,0-30,10,
NDB EFFECTIVITY DAY,,5,2,192,3,15,DAYS,0-9,1,
NDB EFFECTIVITY MONTH,,10,10,192,3,16,MON,0-10,10,
NDB EFFECTIVITY MONTH,,11,8,192,3,15,MON,0-1,1,
NDB EFFECTIVITY YEAR,,9,6,192,3,16,YR,0-10,10,
NDB EFFECTIVITY YEAR,,5,2,192,3,16,YR,0-9,1,
TARGET N1 #2,,12,3,239,2,0,%RPM,0-128,0.125,0.015625
TARGET N1 #2,,12,3,239,4,0,%RPM,0-128,0.125,0.015625
TARGET N1 #1,,12,3,111,2,0,%RPM,0-128,0.125,0.015625
TARGET N1 #1,,12,3,111,4,0,%RPM,0-128,0.125,0.015625
N1 BUG DRIVE ENG 2,,12,1,62,2,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 2,,12,1,62,4,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 1,,12,1,62,1,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 1,,12,1,62,3,0,%RPM,0-128,0.03125,+/-0.3
CN1 (FAN) VIB R,,12,4,249,0,0,SCALAR,0-5.12,0.01,N/A
CN1 (FAN) VIB L,,12,4,121,0,0,SCALAR,0-5.12,0.01,N/A
CN2 (HPC) VIB R,,12,4,250,0,0,SCALAR,0-5.12,0.01,N/A
CN2 (HPC) VIB L,,12,4,122,0,0,SCALAR,0-5.12,0.01,N/A
TN1 (LPT) VIB R,,12,4,251,0,0,SCALAR,0-5.12,0.01,N/A
TN1 (LPT) VIB L,,12,4,123,0,0,SCALAR,0-5.12,0.01,N/A
TN2 (HPT) VIB R,,12,4,252,0,0,SCALAR,0-5.12,0.01,N/A
TN2 (HPT) VIB L,,12,4,124,0,0,SCALAR,0-5.12,0.01,N/A
FAN IMBALANCE ANGLE R,,12,4,253,0,0,DEG,0-512,1,N/A
FAN IMBALANCE ANGLE L,,12,4,125,0,0,DEG,0-512,1,N/A
LPT IMBALANCE ANGLE R,,12,4,254,0,0,DEG,0-512,1,N/A
LPT IMBALANCE ANGLE L,,12,4,126,0,0,DEG,0-512,1,N/A
ALTITUDE (1013.25mB) MSH,S,12,3,174,0,0,FT,+/-65536,128,+/-15 to +/- 80
ALTITUDE (1013.25mB) LSH,S,12,3,175,0,0,FT,+/-512,1,+/-15 to +/- 80
BARO COR ALT NO. 1,S,12,1,192,1,1,FT,+/-65536,32,+/-15 to +/- 80
MACH,,12,3,184,0,0,MACH,0-1.024,0.001,SEE ADIRU ICD
COMPUTED AIRSPEED,,12,2,172,0,0,KT,0-512,0.25,+/-4 to +/-1
MAX ALLOWABLE AIRSPEED,,12,1,192,2,0,KT,0-1024,0.25,+/-1
TOTAL AIR TEMP,S,12,3,44,0,0,DEG C,+/-128,0.25,+/-0.5
BARO COR ALT NO. 2,S,12,1,192,1,2,FT,+/-65536,32,+/-15 to +/- 80
BARO COR (in HG) #1 /MSD,,12,10,256,4,12,inHg,0-40.95,10,
BARO COR (in HG) #1 /LSD+3,,9,6,256,4,12,inHg,0-40.95,1,
BARO COR (in HG) #1 /LSD+2,,5,2,256,4,12,inHg,0-40.95,0.1,
BARO COR (in HG) #1 /LSD+1,,12,9,186,1,0,inHg,0-40.95,0.01,
BARO COR (in HG) #1 /LSD,,8,5,186,1,0,inHg,0-40.95,0.001,
XX  BARO COR (in HG) #2 /MSD,,12,10,256,4,13,inHg,0-40.95,10,
XX  BARO COR (in HG) #2 /LSD+3,,9,6,256,4,13,inHg,0-40.95,1,
XX  BARO COR (in HG) #2 /LSD+2,,5,2,256,4,13,inHg,0-40.95,0.1,
XX  BARO COR (in HG) #2 /LSD+1,,12,9,186,2,0,inHg,0-40.95,0.01,
XX  BARO COR (in HG) #2 /LSD,,8,5,186,2,0,inHg,0-40.95,0.001,
BARO COR ALT NO. 3,S,12,1,192,1,3,FT,+/-65536,32,+/-15 to +/- 80
BARO COR ALT NO. 4,S,12,1,192,1,4,FT,+/-65536,32,+/-15 to +/- 80
ILS FREQ/GLS CHNL - MSD,,12,2,53,1,0,MHZ,0-179.9,0.1,
ILS FREQ/GLS CHNL - LSD,,12,9,53,2,0,MHZ,0-0.09,0.01,
LOCALIZER DEV/AZIMUTH,S,12,3,54,1,3,,+/-0.4,0.00078125,+/-0.003
LOCALIZER DEV/AZIMUTH,S,12,3,54,3,0,DDM,+/-0.4,0.00078125,+/-0.003
GLIDESLOPE DEV/ELEVATION,S,12,3,55,1,0,DDM,+/-0.8,0.0015625,+/-0.0065
GLIDESLOPE DEV/ELEVATION,S,12,3,55,3,0,DDM,+/-0.8,0.0015625,+/-0.0065
GMT HOURS,,12,8,181,4,0,HR,0-32,1,N/A
GMT MINUTES,,7,2,181,4,0,MIN,0-64,1,N/A
GMT SECONDS,,6,1,182,4,0,SEC,0-64,1,N/A
DAY X10,,7,6,256,4,4,DAYS,0-30,10,
DAY X 1,,5,2,256,4,4,DAYS,0-9,1,
MONTH X10,,12,12,256,4,4,MON,0-10,10,
MONTH X 1,,11,8,256,4,4,MON,0-9,1,
YEAR X10,,12,9,256,4,5,YR,0-90,10,
YEAR X 1,,8,5,256,4,5,YR,0-9,1,
SELECTED COURSE #1,S,12,3,156,1,0,DEG,+/-180,0.3515625,N/A
SELECTED COURSE #1,S,12,3,156,3,0,DEG,+/-180,0.3515625,N/A
SELECTED HEADING,S,12,3,28,0,0,DEG,+/-180,0.3515625,N/A
SELECTED ALTITUDE,,12,1,105,0,0,FT,0-65536,16,N/A
SELECTED AIRSPEED,,12,2,106,0,0,KT,512,0.25,N/A
SELECTED VERTICAL SPEED BNR,S,12,1,233,0,0,FT/MIN,+/-32768,16,N/A
SELECTED MACH,,12,3,234,0,0,MACH,1.024,0.001,N/A
SELECTED COURSE #2,S,12,3,156,2,0,DEG,+/-180,0.3515625,N/A
SELECTED COURSE #2,S,12,3,156,4,0,DEG,+/-180,0.3515625,N/A
FLIGHT DIRECTOR ROLL - R,S,12,3,152,0,0,DEG,+/- 180,0.3512,N/A
FLIGHT DIRECTOR PITCH - R,S,12,3,154,0,0,DEG,+/- 180,0.3512,N/A
SPOILER POSITION NO. 4,S,12,1,93,0,0,DEG,+/-180,0.087890625,N/A
SPOILER POSITION NO. 4,S,12,1,221,0,0,DEG,+/-180,0.087890625,N/A
SPOILER POSITION NO. 9,S,12,1,95,0,0,DEG,+/-180,0.087890625,N/A
SPOILER POSITION NO. 9,S,12,1,223,0,0,DEG,+/-180,0.087890625,N/A
XX  ILS FREQ/GLS CHNL - MSD,,12,2,53,3,0,MHZ,0-179.9,0.1,
XX  ILS FREQ/GLS CHNL - LSD,,12,9,53,4,0,MHZ,0-0.09,0.01,
XX  LOCALIZER DEV/AZIMUTH,S,12,3,54,2,0,DDM,+/-0.4,0.00078125,+/-0.003
LOCALIZER DEV/AZIMUTH,S,12,3,54,4,0,DDM,+/-0.4,0.00078125,+/-0.003
GLIDESLOPE DEV/ELEVATION,S,12,3,55,2,0,DDM,+/-0.8,0.0015625,+/-0.0065
GLIDESLOPE DEV/ELEVATION,S,12,3,55,4,0,DDM,+/-0.8,0.0015625,+/-0.0065
VOR FREQUENCY-RT,,12,2,56,4,0,MHz,108- 117.95,0.05,
VOR FREQUENCY-LT,,12,2,56,2,0,MHz,108- 117.95,0.05,
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,104,0,0,DEG,+/-5,0.009765625,N/A
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,232,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,38,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,102,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,166,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,230,0,0,DEG,+/-5,0.009765625,N/A
ANGLE OF ATTACK (INDICATED) - L,S,12,3,72,0,0,DEG,+/-90,0.17578125,N/A
STICK SHAKER SPEED,,12,3,186,3,0,KT,0-512,0.5,N/A
FC MIN OPERATING SPD,,12,3,186,4,0,KT,0-512,0.5,N/A
HIGH SPD BUFFET SPD,,12,3,183,3,0,KT,0-512,0.5,N/A
FLIGHT DIRECTOR ROLL - L,S,12,3,146,0,0,DEG,+/- 180,0.3512,N/A
FLIGHT DIRECTOR PITCH - L,S,12,3,148,0,0,DEG,+/- 180,0.3512,N/A
VREF SPEED,,12,2,256,4,7,KT,0-512,0.25,N/A
V2 SPEED,,11,1,51,4,3,KT,0-512,0.25,N/A
VR SPEED,,11,1,51,4,4,KT,0-512,0.25,N/A
V1 SPEED,,11,1,51,4,5,KT,0-512,0.25,N/A
DESIRED TRACK,S,12,3,92,0,0,DEG,+/- 180,0.35156,+/-0.1
CROSS TRACK DEV,S,12,1,8,4,0,NM,-32,0.015625,-0.01
VERTICAL DEV (WIDE),S,12,1,8,3,0,FT,-16384,8,+-10.0 FT
RNP - VERTICAL,,12,1,8,1,0,FT,8192,2,
ANP - VERTICAL,,12,1,8,2,0,FT,8192,2,
ANP - LATERAL,,12,1,189,4,0,NM,0-32,0.00781,N/A
RNP - LATERAL,,12,1,189,3,0,NM,0-32,0.00781,N/A
PRES POSN LAT-MSData,S,12,1,179,3,0,DEG,+/-90,0.043945312,N/A
PRES POSN LAT-LSData,,12,1,177,0,0,DEG,0-0.70313,0.00017,N/A
PRES POSN LONG-MSData,S,12,1,179,4,0,DEG,+/-180,0.087890625,N/A
PRES POSN LONG-LSData,,12,1,178,0,0,DEG,0-0.70313,0.00017,N/A
FMC GROUNDSPEED,,12,3,206,3,0,KT,0-1024,1,+/-3 OR +/- 6
TRACK ANGLE TRUE,S,12,3,79,0,0,DEG,+/- 180,0.35156,
WIND SEED,,12,4,181,2,0,KT,0-256,0.5,+/-2
WIND DIRECTION TRUE,S,12,3,181,3,0,DEG,+/-180,0.3515625,+/-2
DRIFT ANGLE,S,12,3,180,0,0,DEG,+/-45,0.087890625,+/-2
FLIGHT PATH ANGLE,S,12,3,47,0,0,DEG,+/-180,0.3515625,+/-2
DME DISTANCE-RT,,12,3,183,4,0,NM,0-256,0.25,+/-0.1
CONT REG #2,,7,3,193,0,0,,0-32,1,N/A
CONT REG #1,,7,3,65,0,0,,0-32,1,N/A
SELECTED VBV POSITION #2,S,12,2,161,2,0,DEG,+/-180,0.17578125,N/A
SELECTED VBV POSITION #1,S,12,2,161,1,0,DEG,+/-180,0.17578125,N/A
SELECTED VSV POSITION #2,S,12,2,161,4,0,DEG,+/-180,0.17578125,N/A
SELECTED VSV POSITION #1,S,12,2,161,3,0,DEG,+/-180,0.17578125,N/A
HYD OIL PRESS SYS A,,12,3,26,1,0,PSI,4096,4,N/A
HYD OIL PRESS SYS A,,12,3,26,3,0,PSI,4096,4,N/A
HYDRAULIC OIL QTY SYS A,,12,3,247,3,0,% FULL,0-128,0.125,N/A
HYDRAULIC OIL QTY SYS B,,12,3,247,4,0,% FULL,0-128,0.125,N/A
LT ENG N1 TACHOMETER,,12,3,59,1,0,%RPM,0-128,0.125,N/A
DAC FUEL MOD VALVE SEL #2,S,12,3,207,2,0,%,+/-128,0.25,N/A
DAC FUEL MOD VALVE SEL #1,S,12,3,207,1,0,%,+/-128,0.25,N/A
RT ENG N1 TACHOMETER,,12,3,187,1,0,%RPM,0-128,0.125,N/A
LT ENG N2 TACHOMETER,,12,3,59,3,0,%RPM,0-128,0.125,N/A
RT ENG N2 TACHOMETER,,12,3,187,3,0,%RPM,0-128,0.125,N/A
DAC STAGING MODE #2,,12,8,193,0,0,,0-32,1,N/A
DAC STAGING MODE #1,,12,8,65,0,0,,0-32,1,N/A
ENG OIL QTY #1,,11,3,119,2,8,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,2,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,6,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,10,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,12,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,14,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,16,QT,0-128,0.25,N/A
ENG OIL QTY #1,,11,3,119,2,4,QT,0-128,0.25,N/A
FUEL AIR RATIO STA 36 #2,,12,3,220,2,0,,0-0.125,0.00012207,N/A
FUEL AIR RATIO STA 36 #2,,12,3,220,4,0,,0-0.125,0.00012207,N/A
FUEL AIR RATIO STA 36 #1,,12,3,220,1,0,,0-0.125,0.00012207,N/A
FUEL AIR RATIO STA 36 #1,,12,3,220,3,0,,0-0.125,0.00012207,N/A
ENG OIL QTY #2,,11,3,247,2,16,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,14,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,12,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,10,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,8,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,6,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,4,QT,0-128,0.25,N/A
ENG OIL QTY #2,,11,3,247,2,2,QT,0-128,0.25,N/A
COMBUSTOR SEVERITY #2,,12,3,207,4,0,PSI^2/PP S,2048,2,N/A
COMBUSTOR SEVERITY #1,,12,3,207,3,0,PSI^2/PP S,2048,2,N/A
SELECTED P0 #2,,12,2,192,3,4,PSIA,0-32,0.015625,N/A
SELECTED P0 #1,,12,2,192,3,3,PSIA,0-32,0.015625,N/A
SELECTED TAT #2,S,12,2,192,3,6,DEG C,+/-128,0.125,N/A
SELECTED TAT #1,S,12,2,192,3,5,DEG C,+/-128,0.125,N/A
SELECTED TRA FILTERED #2,,12,3,241,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #1,,12,3,113,0,0,DEG,0-180,0.17578125,N/A
RADIO HEIGHT,,2,1,186,1,0,FT,6144-0,2048,N/A
RADIO HEIGHT,,2,1,186,3,0,FT,6144-0,2048,N/A
RADIO HEIGHT,S,12,1,128,1,0,FT,+/-2048,1,N/A
RADIO HEIGHT,S,12,1,128,3,0,FT,+/-2048,1,N/A
CAPT DISP LOCALIZER DEV / AZIMUTH,S,12,3,18,0,0,DDM,+/-0.4,0.00078125,N/A
CAPT DISP GLIDESLOPE DEV / ELEVATION,S,12,3,24,0,0,DDM,+/-0.4,0.00078125,N/A
CALCULATED MACH NO. #2,,12,2,192,3,8,MACH,0-4.096,0.002,N/A
CALCULATED MACH NO. #1,,12,2,192,3,7,MACH,0-4.096,0.002,N/A
SELECTED PT2 #2,,12,2,192,3,10,MB,0-2048,1,N/A
SELECTED PT2 #1,,12,2,192,3,9,MB,0-2048,1,N/A
SELECTED FUEL FLOW #2,,12,3,246,0,0,PPH,0-16384,16,N/A
SELECTED FUEL FLOW #1,,12,3,118,0,0,PPH,0-16384,16,N/A
DISPL APP DIST F/O,,12,3,189,2,0,NMILES,256,0.25,
DISPL APP DIST CAPT,,12,3,189,1,0,NMILES,256,0.25,
EEC MAX T/O N1 RATING #2,,12,2,192,3,12,%RPM,0-128,0.0625,N/A
EEC MAX T/O N1 RATING #1,,12,2,192,3,11,%RPM,0-128,0.0625,N/A
EEC MAX CLIMB N1 RATING 2,,12,2,192,3,2,%RPM,0-128,0.0625,N/A
EEC MAX CLIMB N1 RATING 1,,12,2,192,3,1,%RPM,0-128,0.0625,N/A
LT MAIN FUEL QTY,,12,3,256,4,8,LBS,0-10240,10,N/A
RT MAIN FUEL QTY,,12,3,256,4,9,LBS,0-10240,10,N/A
CENTER MAIN FUEL QTY,,12,1,256,4,10,LBS,0-40960,10,N/A
AUX TANK FUEL QTY,,12,4,256,4,11,LBS,0-40960,80,N/A
SELECTED T25 (Comp) #2,S,12,2,192,4,14,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #2,S,12,2,192,4,10,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #2,S,12,2,192,4,2,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #2,S,12,2,192,4,6,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #1,S,12,2,192,4,13,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #1,S,12,2,192,4,1,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #1,S,12,2,192,4,9,DEG C,+/-256,0.25,N/A
SELECTED T25 (Comp) #1,S,12,2,192,4,5,DEG C,+/-256,0.25,N/A
SELECTED PS3 #2,,12,3,248,0,0,PSIA,0-2048,2,N/A
SELECTED PS3 #1,,12,3,120,0,0,PSIA,0-2048,2,N/A
SELECTED T3 #2,S,12,2,192,4,4,DEG C,+/-1024,1,N/A
SELECTED T3 #2,S,12,2,192,4,8,DEG C,+/-1024,1,N/A
SELECTED T3 #2,S,12,2,192,4,16,DEG C,+/-1024,1,N/A
SELECTED T3 #2,S,12,2,192,4,12,DEG C,+/-1024,1,N/A
SELECTED T3 #1,S,12,2,192,4,15,DEG C,+/-1024,1,N/A
SELECTED T3 #1,S,12,2,192,4,11,DEG C,+/-1024,1,N/A
SELECTED T3 #1,S,12,2,192,4,7,DEG C,+/-1024,1,N/A
SELECTED T3 #1,S,12,2,192,4,3,DEG C,+/-1024,1,N/A
CAPT DISPLAY GROUNDSPEED,,12,2,176,0,0,KT,1024,0.5,N/A
CAPT DISPLAY HEADING,S,12,3,35,0,0,DEG,+/-180,0.3515625,N/A
CAPT DISPLAY HEADING,S,12,3,163,0,0,DEG,+/-180,0.3515625,N/A
SELECTED OIL TEMP #2,,12,3,247,2,5,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,13,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,1,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,7,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,11,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,15,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #2,,12,3,247,2,3,DEG C,0-1024,1,N/A
