ARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
SELECTED OIL TEMP #2,,12,3,247,2,9,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,1,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,3,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,5,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,7,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,9,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,13,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,15,DEG C,0-1024,1,N/A
SELECTED OIL TEMP #1,,12,3,119,2,11,DEG C,0-1024,1,N/A
SELECTED OIL PRESS #2,,12,3,247,1,0,PSI,0-1024,1,N/A
SELECTED OIL PRESS #1,,12,3,119,1,0,PSI,0-1024,1,N/A
SELECTED FMV POSITION #1,S,12,2,181,1,0,%,+/-128,0.125,N/A
CAPT DISPLAY PITCH ATT,S,12,3,3,0,0,DEG,+/-90,0.17578125,N/A
CAPT DISPLAY PITCH ATT,S,12,3,67,0,0,DEG,+/-90,0.17578125,N/A
CAPT DISPLAY PITCH ATT,S,12,3,131,0,0,DEG,+/-90,0.17578125,N/A
CAPT DISPLAY PITCH ATT,S,12,3,195,0,0,DEG,+/-90,0.17578125,N/A
SELECTED FMV POSITION #2,S,12,2,182,1,0,%,+/-128,0.125,N/A
CAPT DISPLAY ROLL ATT,S,12,2,16,0,0,DEG,+/-180,0.17578125,N/A
CAPT DISPLAY ROLL ATT,S,12,2,80,0,0,DEG,+/-180,0.17578125,N/A
CAPT DISPLAY ROLL ATT,S,12,2,144,0,0,DEG,+/-180,0.17578125,N/A
CAPT DISPLAY ROLL ATT,S,12,2,208,0,0,DEG,+/-180,0.17578125,N/A
N1 #2 CMD INDICATED,,12,3,239,1,0,%RPM,0-128,0.125,N/A
N1 #2 CMD INDICATED,,12,3,239,3,0,%RPM,0-128,0.125,N/A
N1 #1 CMD INDICATED,,12,3,111,1,0,%RPM,0-128,0.125,N/A
N1 #1 CMD INDICATED,,12,3,111,3,0,%RPM,0-128,0.125,N/A
N1 REFERENCE SET #2,,12,3,206,2,0,%RPM,0-128,0.125,N/A
N1 REFERENCE SET #1,,12,3,206,1,0,%RPM,0-128,0.125,N/A
SELECTED N2 ACTUAL #2,,12,3,245,0,0,%RPM,0-128,0.125,N/A
SELECTED N2 ACTUAL #1,,12,3,117,0,0,%RPM,0-128,0.125,N/A
SELECTED EGT (T495) #2,,12,3,240,0,0,DEG C,0-1024,1,N/A
SELECTED EGT (T495) #1,,12,3,112,0,0,DEG C,0-1024,1,N/A
SELECTED N1 INDICATED #2,,12,3,238,0,0,%RPM,0-128,0.125,N/A
SELECTED N1 INDICATED #1,,12,3,110,0,0,%RPM,0-128,0.125,N/A
MDA SELECTED F/O - MSD,S,12,1,51,4,15,FT,+/-16384,8,N/A
MDA SELECTED F/O - LSD,S,12,8,51,4,13,FT,+/-8,0.5,N/A
MDA SELECTED CAPT - MSD,S,12,1,51,4,14,FT,+/-16384,8,N/A
MDA SELECTED CAPT - LSD,S,12,8,51,4,12,FT,+/-8,0.5,N/A
DH SELECTED F/O,,12,1,256,4,16,FT,0-1024,0.25,N/A
DH SELECTED CAPT,,12,1,256,4,15,FT,0-1024,0.25,N/A
T/R POSN LT SLEEVE #2,S,12,3,235,0,0,%STROK,+/-128 E,0.25,N/A
T/R POSN LT SLEEVE #1,S,12,3,107,0,0,%STROK,+/-128 E,0.25,N/A
T/R POSN RT SLEEVE #2,S,12,3,236,0,0,%STROK,+/-128 E,0.25,N/A
T/R POSN RT SLEEVE #1,S,12,3,108,0,0,%STROK,+/-128 E,0.25,N/A
HYD OIL PRESS SYS B,,12,3,26,2,0,PSI,4096,4,N/A
HYD OIL PRESS SYS B,,12,3,26,4,0,PSI,4096,4,N/A
ADVISORY RATE TO MAINTAIN,,12,6,48,0,0,FT/MIN,+/-6400,100,N/A
RUD POS-LVDT DEMOD- STBY PCU,S,12,3,104,0,0,DEG,+/-5,0.009765625,N/A
RUD POS-LVDT DEMOD- STBY PCU,S,12,3,232,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-STBY PCU,S,12,3,38,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-STBY PCU,S,12,3,102,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-STBY PCU,S,12,3,166,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-STBY PCU,S,12,3,230,0,0,DEG,+/-5,0.009765625,N/A
ANGLE OF ATTACK (INDICATED) - R,S,12,3,200,0,0,DEG,+/-90,0.17578125,N/A
FLAP HANDLE POSITION,S,12,3,29,0,0,DEG,+/-180,0.3515625,N/A
TE FLAP SKEW 1 POSN,S,12,2,52,2,1,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 1 POSN,S,12,2,52,2,5,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 1 POSN,S,12,2,52,2,13,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 1 POSN,S,12,2,52,2,9,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 2 POSN,S,12,2,52,2,11,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 2 POSN,S,12,2,52,2,15,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 2 POSN,S,12,2,52,2,3,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 2 POSN,S,12,2,52,2,7,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 3 POSN,S,12,2,52,4,5,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 3 POSN,S,12,2,52,4,9,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 3 POSN,S,12,2,52,4,13,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 3 POSN,S,12,2,52,4,1,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 4 POSN,S,12,2,52,4,3,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 4 POSN,S,12,2,52,4,7,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 4 POSN,S,12,2,52,4,11,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 4 POSN,S,12,2,52,4,15,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,12,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,4,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,8,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 5 POSN,S,12,2,52,4,16,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,2,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,14,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,10,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 6 POSN,S,12,2,52,4,6,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,16,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,12,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,8,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 7 POSN,S,12,2,52,2,4,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,10,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,6,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,2,DEG,+/-360,0.3515625,N/A
TE FLAP SKEW 8 POSN,S,12,2,52,2,14,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-LT,S,12,2,30,1,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-LT,S,12,2,30,3,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-RT,S,12,2,30,2,0,DEG,+/-360,0.3515625,N/A
T.E. FLAP POSN-RT,S,12,2,30,4,0,DEG,+/-360,0.3515625,N/A
RADIO HEIGHT LRRA L,,2,1,186,2,0,FT,6144-0,2048,2 % OR 1.
RADIO HEIGHT,S,12,1,128,2,0,FT,+/-2048,1,2 % OR 1.
RADIO HEIGHT LRRA R,,2,1,186,4,0,FT,6144-0,2048,2 % OR 1.
RADIO HEIGHT,S,12,1,128,4,0,FT,+/-2048,1,2 % OR 1.
MACH TRIM CMD FEEDBACK,S,12,3,99,0,0,DEG,+/-5.90,0.011523437,N/A
MACH TRIM CMD,S,12,3,97,0,0,DEG,+/-5.90,0.011523437,N/A
AIL ACTUATOR POS-L,S,12,3,82,0,0,DEG,+/- 19.231,0.037560525,N/A
AIL ACTUATOR POS-L,S,12,3,210,0,0,DEG,+/- 19.231,0.037560525,N/A
AIL QUADRANT POS,S,12,3,22,0,0,DEG,+/- 21.3,0.041600156,N/A
AIL QUADRANT POS,S,12,3,150,0,0,DEG,+/- 21.3,0.041600156,N/A
ELEV PITCH CMD-L,S,12,3,7,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,71,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,135,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-L,S,12,3,199,0,0,DEG,+/- 32,0.0625,N/A
ELEV ACTUATOR POS-L,S,12,3,5,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,69,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,133,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-L,S,12,3,197,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV QUADRANT POS,S,12,3,9,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,73,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,137,0,0,DEG,+/- 32,0.0625,N/A
ELEV QUADRANT POS,S,12,3,201,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-L,S,12,3,84,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-L,S,12,3,212,0,0,DEG,+/- 32,0.0625,N/A
CW FORCE (ROLL CWS),S,12,1,21,0,0,LBS,+/- 70,0.127,3.50%
CW FORCE (ROLL CWS),S,12,1,149,0,0,LBS,+/- 70,0.127,3.50%
CC FORCE (PITCH CWS FOREIGN),S,12,1,15,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS FOREIGN),S,12,1,143,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS LOCAL),S,12,1,14,0,0,LBS,+/- 85,0.0625,3.50%
CC FORCE (PITCH CWS LOCAL),S,12,1,142,0,0,LBS,+/- 85,0.0625,3.50%
RUD CMD - L,S,12,3,41,0,0,DEG,+/- 128,0.25,
RUD MOTOR CURRENT - L,S,12,3,42,0,0,AMPS,+/- 2.5,0.00488,
RUD POS SYNCHRO (T-TUBE),S,12,3,43,0,0,DEG,+/- 61,0.11914,
RUD POS SYNCHRO (T-TUBE),S,12,3,171,0,0,DEG,+/- 61,0.11914,
AIL ACTUATOR POS-R,S,12,3,88,0,0,DEG,+/- 19.231,0.037560546,N/A
AIL ACTUATOR POS-R,S,12,3,216,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV PITCH CMD-R,S,12,3,13,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,77,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,141,0,0,DEG,+/- 32,0.0625,N/A
ELEV PITCH CMD-R,S,12,3,205,0,0,DEG,+/- 32,0.0625,N/A
ELEV ACTUATOR POS-R,S,12,3,11,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,75,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,139,0,0,DEG,+/- 19.231,0.037560546,N/A
ELEV ACTUATOR POS-R,S,12,3,203,0,0,DEG,+/- 19.231,0.037560546,N/A
AIL ROLL CMD-R,S,12,3,90,0,0,DEG,+/- 32,0.0625,N/A
AIL ROLL CMD-R,S,12,3,218,0,0,DEG,+/- 32,0.0625,N/A
RUD CMD - R,S,12,3,169,0,0,DEG,+/- 128,0.25,
RUD MOTOR CURRENT - R,S,12,3,170,0,0,AMPS,+/- 2.5,0.00488,
DME DISTANCE-LT,,12,3,183,2,0,NM,256,0.25,+/-0.1
WIND SPEED,,12,4,181,2,0,KT,0-256,0.5,N/A
WIND SPEED,,12,4,182,2,0,KT,0-256,0.5,N/A
WIND DIRECTION TRUE,S,12,3,181,3,0,DEG,+/-180,0.3515625,N/A
WIND DIRECTION TRUE,S,12,3,182,3,0,DEG,+/-180,0.3515625,N/A
DRIFT ANGLE,S,12,3,180,0,0,DEG,+/-45,0.087890625,N/A
APU N1,,10,3,155,1,0,%RPM,0-128,0.5,N/A
APU OIL TEMP,S,12,3,155,3,0,DEG,+/-512,1,N/A
APU EGT (T5),S,12,2,155,2,0,DEG,+/-2048,2,N/A
APU FUEL FLOW,,11,3,155,4,0,LB/HR,0-512,1,N/A
FLIGHT PATH X POSITION,S,12,1,185,1,0,DU,+/-512,0.25,N/A
FLIGHT PATH Y POSITION,S,12,1,185,2,0,DU,+/-512,0.25,N/A
GUIDANCE CUE X POSITION,S,12,1,185,3,0,DU,+/-512,0.25,N/A
GUIDANCE CUE Y POSITION,S,12,1,185,4,0,DU,+/-512,0.25,N/A
VERTICAL ACCELERATION,,12,1,2,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,34,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,66,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,98,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,130,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,162,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,194,0,0,G's,+6to-3,0.00228938,+/-1.0%
VERTICAL ACCELERATION,,12,1,226,0,0,G's,+6to-3,0.00228938,+/-1.0%
PITCH TRIM POSITION,S,12,1,136,0,0,DEG,+4to-13,0.03117,+/-30 MIN
LATERAL ACCELERATION,S,12,3,36,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,100,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,164,0,0,G's,+/-1,0.00203649,+/-1.0%
LATERAL ACCELERATION,S,12,3,228,0,0,G's,+/-1,0.00203649,+/-1.0%
CONTROL COL POSN - CAPT,S,12,2,6,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,70,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,134,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - CAPT,S,12,2,198,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,19,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,83,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,147,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - CAPT,S,12,3,211,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
RUD PEDAL POS,S,12,2,39,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,103,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,167,0,0,DEG,+/-15,0.02843471,+/-30 MIN
RUD PEDAL POS,S,12,2,231,0,0,DEG,+/-15,0.02843471,+/-30 MIN
ELEV POS-L,S,12,1,4,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,68,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,132,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-L,S,12,1,196,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,10,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,74,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,138,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
ELEV POS-R,S,12,1,202,0,0,DEG,-18.5 to 24.5,0.049834123,+/-30 MIN
AIL POS-L,S,12,1,17,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,81,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,145,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-L,S,12,1,209,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,23,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,87,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,151,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
AIL POS-R,S,12,1,215,0,0,DEG,-16 to 21,0.05841792,+/-30 MIN
LONGITUDINAL ACCELERATION,S,12,3,45,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,109,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,173,0,0,G's,+/-1,0.00203649,+/-1.0%
LONGITUDINAL ACCELERATION,S,12,3,237,0,0,G's,+/-1,0.00203649,+/-1.0%
CONTROL WHEEL POSN - F/O,S,12,3,25,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,89,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,153,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
CONTROL WHEEL POSN - F/O,S,12,3,217,0,0,DEG,-107.5 to 107.5,0.3515625,+/- 20 MIN
SPD BRAKE HANDLE POSN,S,12,1,94,0,0,DEG,-3 to 51,0.09800099,+/-30 MIN
SPD BRAKE HANDLE POSN,S,12,1,222,0,0,DEG,-3 to 51,0.09800099,+/-30 MIN
CONTROL COL POSN - F/O,S,12,2,12,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,76,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,140,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
CONTROL COL POSN - F/O,S,12,2,204,0,0,DEG,14.75 to -13.75,0.02202473,+/- 20 MIN
SPOILER POSITION NO. 3,,12,1,91,0,0,DEG,0 to 60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 3,,12,1,219,0,0,DEG,0 to 60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,96,0,0,DEG,0 to -60,0.06875084,+/-30 MIN
SPOILER POSITION NO. 10,S,12,1,224,0,0,DEG,0 to -60,0.06875084,+/-30 MIN
RUD POS,S,12,1,37,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,101,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,165,0,0,DEG,+/-29,0.06519,+/-25MIN
RUD POS,S,12,1,229,0,0,DEG,+/-29,0.06519,+/-25MIN
BRAKE PRESS ALT-LT,S,12,3,86,0,0,PSI,3300to-165,3.387096774, +/-1.25%
BRAKE PRESS ALT-RT,S,12,3,214,0,0,PSI,3300to-165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-LT,S,12,3,86,0,0,PSI,3300to-165,3.387096774,+/-1.25%
BRAKE PRESS MAIN-RT,S,12,3,214,0,0,PSI,3300to-165,3.387096774,+/-1.25%
STBY HYD OIL PRESS,S,12,2,56,1,0,PSI,(-8185)-32589,19.9095,+/-1.84% Vratio
STBY HYD OIL PRESS,S,12,2,56,3,0,PSI,(-8185)-32589,19.9095,+/-1.84% Vratio
RUD PEDAL FORCE,S,12,1,40,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RUD PEDAL FORCE,S,12,1,168,0,0,LBS,+/- 165,0.5952,+/- 3.5%
RESERVED ACVR #2,,12,1,49,0,0,,,0,
