PARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
THROTTLE RATE CMD #2,S,12,3,427,0,0,DEG/SEC ,+/-16,0.03125,N/A
THROTTLE RATE CMD #1,S,12,3,171,0,0,DEG/SEC ,+/-16,0.03125,N/A
THR SERVO MOTOR TACH #2,,12,3,299,0,0,DEG/SEC ,0-16,0.015625,N/A
THR SERVO MOTOR TACH #1,,12,3,43,0,0,DEG/SEC ,0-16,0.015625,N/A
THR TORQUE #2,S,12,4,363,0,0,IN-OZ,+/-32,0.125,N/A
THR TORQUE #1,S,12,4,107,0,0,IN-OZ,+/-32,0.125,N/A
DISTANCE TO GO (WPT),,7,5,496,3,8,NM,0-7000,1000,
DISTANCE TO GO (WPT),,4,1,496,3,8,NM,0-900,100,
DISTANCE TO GO (WPT) - LSD,,12,9,499,4,0,NM,0-90,10,
DISTANCE TO GO (WPT) - LSD,,8,5,499,4,0,NM,0-9,1,
DISTANCE TO GO (WPT) - LSD,,4,1,499,4,0,NM,0-0.9,0.1,
DESTINATION ETA HOURS,,7,5,256,2,3,HR,0-70,10,
DESTINATION ETA HOURS,,4,1,256,2,3,HR,0-9,1,
DESTINATION ETA MINUTES,,12,9,499,2,0,MIN,0-50,10,
DESTINATION ETA MINUTES,,8,5,499,2,0,MIN,0-9,1,
DESTINATION ETA MINUTES,,4,1,499,2,0,MIN,0-0.9,0.1,
GROSS WEIGHT,,12,1,456,1,6,LBS,0-327680,80,N/A
FMC ALTITUDE SELECTED,,12,1,97,0,0,FT,0-65536,16,50
FMC AIRSPEED SELECTED,,12,2,108,0,0,KT,0-512,0.25,0.5
VERT SPEED CMD,S,12,1,60,0,0,FT/MIN,+/-16384,8,40
FMC MACH SELECTED,,12,1,48,0,0,MACH,0-4.096,0.001,N/A
GMT HRSX10,,12,10,496,3,2,HR,0-70,10,
GMT HRSx1.0,,12,9,496,3,1,HR,0-9,1,
GMT MINx10,,12,9,256,2,8,MIN,0-50,10,
GMT MINx1.0,,12,9,256,2,7,MIN,0-9,1,
GMT MINx0.1,,12,9,256,2,6,MIN,0-0.9,0.1,
RSVD FOR GMT,,12,8,256,2,4,,NA,0,
RSVD FOR GMT,,6,1,256,2,5,,NA,0,
RSVD FOR GMT,,12,7,256,2,5,,NA,0,
FMC STATIC AIR TEMP,S,12,3,249,3,0,DEG C,+/-128,0.25,+/-1
FMC SELECTED TEMP,S,12,3,249,1,0,DEG C,+/-128,0.25,+/-1
DISTANCE TO GO,,12,1,257,4,6,NM,0-4096,1,N/A
FLIGHT NUMBER MSDigit,,11,8,61,3,14,X 1000,0-9,1,
FLIGHT NUMBER LSDigit + 2,,11,8,61,3,13,X 100,0-9,1,
FLIGHT NUMBER LSDigit + 1,,11,8,61,3,12,X 10,0-9,1,
FLIGHT NUMBER LSDigit,,11,8,61,3,11,X 1,0-9,1,
NDB EFFECTIVITY DAY,,7,6,61,3,15,DAYS,0-30,10,
NDB EFFECTIVITY DAY,,5,2,61,3,15,DAYS,0-9,1,
NDB EFFECTIVITY MONTH,,10,10,61,3,16,MON,0-10,10,
NDB EFFECTIVITY MONTH,,11,8,61,3,15,MON,0-1,1,
NDB EFFECTIVITY YEAR,,9,6,61,3,16,YR,0-10,10,
NDB EFFECTIVITY YEAR,,5,2,61,3,16,YR,0-9,1,
TARGET N1 #2,,12,3,368,0,0,%RPM,0-128,0.125,0.015625
TARGET N1 #1,,12,3,112,0,0,%RPM,0-128,0.125,0.015625
N1 BUG DRIVE ENG 2,,12,1,67,2,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 2,,12,1,67,4,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 1,,12,1,67,1,0,%RPM,0-128,0.03125,+/-0.3
N1 BUG DRIVE ENG 1,,12,1,67,3,0,%RPM,0-128,0.03125,+/-0.3
CN1 (FAN) VIB R,,12,4,318,0,0,SCALAR,0-5.12,0.01,N/A
CN1 (FAN) VIB L,,12,4,62,0,0,SCALAR,0-5.12,0.01,N/A
CN2 (HPC) VIB R,,12,4,319,0,0,SCALAR,0-5.12,0.01,N/A
CN2 (HPC) VIB L,,12,4,63,0,0,SCALAR,0-5.12,0.01,N/A
TN1 (LPT) VIB R,,12,4,320,0,0,SCALAR,0-5.12,0.01,N/A
TN1 (LPT) VIB L,,12,4,64,0,0,SCALAR,0-5.12,0.01,N/A
TN2 (HPT) VIB R,,12,4,321,0,0,SCALAR,0-5.12,0.01,N/A
TN2 (HPT) VIB L,,12,4,65,0,0,SCALAR,0-5.12,0.01,N/A
FAN IMBALANCE ANGLE R,,12,4,342,0,0,DEG,0-512,1,N/A
FAN IMBALANCE ANGLE L,,12,4,86,0,0,DEG,0-512,1,N/A
LPT IMBALANCE ANGLE R,,12,4,470,0,0,DEG,0-512,1,N/A
LPT IMBALANCE ANGLE L,,12,4,214,0,0,DEG,0-512,1,N/A
ALTITUDE (1013.25mB) MSH,S,12,3,46,0,0,FT,+/-65536,128,+/-15 to +/- 80
ALTITUDE (1013.25mB) MSH,S,12,3,174,0,0,FT,+/-65536,128,+/-15 to +/- 80
ALTITUDE (1013.25mB) MSH,S,12,3,302,0,0,FT,+/-65536,128,+/-15 to +/- 80
ALTITUDE (1013.25mB) MSH,S,12,3,430,0,0,FT,+/-65536,128,+/-15 to +/- 80
ALTITUDE (1013.25mB) LSH,S,12,3,47,0,0,FT,+/-512,1,+/-15 to +/- 80
ALTITUDE (1013.25mB) LSH,S,12,3,175,0,0,FT,+/-512,1,+/-15 to +/- 80
ALTITUDE (1013.25mB) LSH,S,12,3,303,0,0,FT,+/-512,1,+/-15 to +/- 80
ALTITUDE (1013.25mB) LSH,S,12,3,431,0,0,FT,+/-512,1,+/-15 to +/- 80
BARO COR ALT NO. 1,S,12,1,371,0,0,FT,+/-65536,32,+/-15 to +/- 80
MACH,,12,3,432,0,0,MACH,0-1.024,0.001,SEE ADIRU ICD
COMPUTED AIRSPEED,,12,2,44,0,0,KT,0-512,0.25,+/-4 to +/-1
COMPUTED AIRSPEED,,12,2,172,0,0,KT,0-512,0.25,+/-4 to +/-1
COMPUTED AIRSPEED,,12,2,300,0,0,KT,0-512,0.25,+/-4 to +/-1
COMPUTED AIRSPEED,,12,2,428,0,0,KT,0-512,0.25,+/-4 to +/-1
MAX ALLOWABLE AIRSPEED,,12,1,492,1,0,KT,0-1024,0.25,+/-1
TOTAL AIR TEMP,S,12,3,208,0,0,DEG C,+/-128,0.25,+/-0.5
BARO COR ALT NO. 2,S,12,1,434,0,0,FT,+/-65536,32,+/-15 to +/- 80
BARO COR (in HG) #1 /MSD,,12,10,239,0,0,inHg,0-40.95,10,
BARO COR (in HG) #1 /LSD+3,,9,6,239,0,0,inHg,0-40.95,1,
BARO COR (in HG) #1 /LSD+2,,5,2,239,0,0,inHg,0-40.95,0.1,
BARO COR (in HG) #1 /LSD+1,,12,9,238,0,0,inHg,0-40.95,0.01,
BARO COR (in HG) #1 /LSD,,8,5,238,0,0,inHg,0-40.95,0.001,
BARO COR (in HG) #2 /MSD,,12,10,495,0,0,inHg,0-40.95,10,
BARO COR (in HG) #2 /LSD+3,,9,6,495,0,0,inHg,0-40.95,1,
BARO COR (in HG) #2 /LSD+2,,5,2,495,0,0,inHg,0-40.95,0.1,
BARO COR (in HG) #2 /LSD+1,,12,9,494,0,0,inHg,0-40.95,0.01,
BARO COR (in HG) #2 /LSD,,8,5,494,0,0,inHg,0-40.95,0.001,
BARO COR ALT NO. 3,S,12,1,188,2,0,FT,+/-65536,32,+/-15 to +/- 80
BARO COR ALT NO. 4,S,12,1,188,4,0,FT,+/-65536,32,+/-15 to +/- 80
XX  ILS FREQ/GLS CHNL - MSD-L,,12,2,247,0,0,MHZ,0-179.9,0.1,
XX  ILS FREQ/GLS CHNL - LSD-L,,12,9,246,0,0,MHZ,0-0.09,0.01,
XX  LOCALIZER DEV/AZIMUTH-L,S,12,3,54,0,0,DDM,+/-0.4,0.00078125,+/-0.003
XX  LOCALIZER DEV/AZIMUTH-L,S,12,3,310,0,0,DDM,+/-0.4,0.00078125,+/-0.003
GLIDESLOPE DEV/ELEVATION-L,S,12,3,55,0,0,DDM,+/-0.8,0.0015625,+/-0.0065
GLIDESLOPE DEV/ELEVATION-L,S,12,3,311,0,0,DDM,+/-0.8,0.0015625,+/-0.0065
GMT HOURS,,12,8,256,1,0,HR,0-32,1,N/A
GMT MINUTES,,7,2,256,1,0,MIN,0-64,1,N/A
GMT SECONDS,,6,1,257,1,0,SEC,0-64,1,N/A
DAY X10,,7,6,257,4,4,DAYS,0-30,10,
DAY X 1,,5,2,257,4,4,DAYS,0-9,1,
MONTH X10,,12,12,257,4,4,MON,0-10,10,
MONTH X 1,,11,8,257,4,4,MON,0-9,1,
YEAR X10,,12,9,257,4,5,YR,0-90,10,
YEAR X 1,,8,5,257,4,5,YR,0-9,1,
TARGET AIRSPEED,,12,2,236,0,0,KT,0-512,0.25,
SELECTED COURSE #2 - LOCAL,S,12,3,156,0,0,DEG,+/-180,0.3515625,N/A
SELECTED HEADING,S,12,3,28,0,0,DEG,+/-180,0.3515625,N/A
SELECTED ALTITUDE,,12,1,353,0,0,FT,0-65536,16,N/A
SELECTED AIRSPEED,,12,2,364,0,0,KT,512,0.25,N/A
SELECTED VERTICAL SPEED BNR,S,12,1,316,0,0,FT/MIN,+/-32768,16,N/A
SELECTED MACH,,12,3,304,0,0,MACH,1.024,0.001,N/A
SELECTED COURSE #1 - FOREIGN,S,12,3,412,0,0,DEG,+/-180,0.3515625,N/A
FLIGHT DIRECTOR ROLL - R,S,12,3,276,0,0,DEG,+/- 180,0.3512,N/A
FLIGHT DIRECTOR PITCH - R,S,12,3,404,0,0,DEG,+/- 180,0.3512,N/A
SPOILER POSITION NO. 4,S,12,1,29,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,93,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,157,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,221,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,285,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,349,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,413,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 4,S,12,1,477,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,31,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,95,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,159,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,223,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,287,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,351,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,415,0,0,DEG,+/-90,0.04394531,N/A
SPOILER POSITION NO. 9,S,12,1,479,0,0,DEG,+/-90,0.04394531,N/A
XX  ILS FREQ/GLS CHNL - MSD-R,,12,2,503,0,0,MHZ,0-179.9,0.1,
XX  ILS FREQ/GLS CHNL - LSD-R,,12,9,502,0,0,MHZ,0-0.09,0.01,
XX  LOCALIZER DEV/AZIMUTH-R,S,12,3,56,0,0,DDM,+/-0.4,0.00078125,+/-0.003
XX  LOCALIZER DEV/AZIMUTH-R,S,12,3,312,0,0,DDM,+/-0.4,0.00078125,+/-0.003
GLIDESLOPE DEV/ELEVATION-R,S,12,3,57,0,0,DDM,+/-0.8,0.0015625,+/-0.0065
GLIDESLOPE DEV/ELEVATION-R,S,12,3,313,0,0,DDM,+/-0.8,0.0015625,+/-0.0065
VOR FREQUENCY-RT,,12,2,504,0,0,MHz,108- 117.95,0.05,
VOR FREQUENCY-LT,,12,2,248,0,0,MHz,108- 117.95,0.05,
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,100,0,0,DEG,+/-5,0.009765625,N/A
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,228,0,0,DEG,+/-5,0.009765625,N/A
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,356,0,0,DEG,+/-5,0.009765625,N/A
RUD POS-LVDT DEMOD-MAIN PCU,S,12,3,484,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,36,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,164,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,292,0,0,DEG,+/-5,0.009765625,N/A
RUD SERVO CMD-MAIN PCU  BNR,S,12,3,420,0,0,DEG,+/-5,0.009765625,N/A
ANGLE OF ATTACK (INDICATED) - L,S,12,3,73,0,0,DEG,+/-90,0.17578125,N/A
ANGLE OF ATTACK (INDICATED) - L,S,12,3,201,0,0,DEG,+/-90,0.17578125,N/A
ANGLE OF ATTACK (INDICATED) - L,S,12,3,329,0,0,DEG,+/-90,0.17578125,N/A
ANGLE OF ATTACK (INDICATED) - L,S,12,3,457,0,0,DEG,+/-90,0.17578125,N/A
STICK SHAKER SPEED,,12,3,257,2,0,KT,0-512,0.5,N/A
FC MIN OPERATING SPD,,12,3,249,2,0,KT,0-512,0.5,N/A
HIGH SPD BUFFET SPD,,12,3,249,4,0,KT,0-512,0.5,N/A
SELECTED COURSE #1 - LOCAL,S,12,3,156,0,0,DEG,+/-180,0.3515625,N/A
SELECTED COURSE #2 - FOREIGN,S,12,3,412,0,0,DEG,+/-180,0.3515625,N/A
FLIGHT DIRECTOR ROLL - L,S,12,3,20,0,0,DEG,+/- 180,0.3512,N/A
FLIGHT DIRECTOR PITCH - L,S,12,3,148,0,0,DEG,+/- 180,0.3512,N/A
VREF SPEED,,12,2,61,4,0,KT,0-512,0.25,N/A
V2 SPEED,,12,2,61,2,0,KT,0-512,0.25,N/A
VR SPEED,,12,2,257,4,7,KT,0-512,0.25,N/A
V1 SPEED,,12,2,61,1,0,KT,0-512,0.25,N/A
DESIRED TRACK,S,12,3,180,0,0,DEG,+/- 180,0.35156,+/-0.1
CROSS TRACK DEV,S,12,1,118,3,0,NM,-32,0.015625,-0.01
VERTICAL DEV (WIDE),S,12,1,119,3,0,FT,-16384,8,+-10.0 FT
RNP - VERTICAL,,12,1,119,1,0,FT,8192,2,
ANP - VERTICAL,,12,1,119,2,0,FT,8192,2,
ANP - LATERAL,,12,1,118,2,0,NM,0-32,0.00781,N/A
RNP - LATERAL,,12,1,118,1,0,NM,0-32,0.00781,N/A
PRES POSN LAT - MSDATA - FMC,S,12,1,375,0,0,DEG,+/-90,0.043945312,N/A
PRES POSN LAT - LSDATA - FMC,,12,1,374,0,0,DEG,0-0.70313,0.00017,N/A
PRES POSN LONG - MSDATA - FMC,S,12,1,377,0,0,DEG,+/-180,0.087890625,N/A
PRES POSN LONG - LSDATA - FMC,,12,1,376,0,0,DEG,0-0.70313,0.00017,N/A
FMC GROUNDSPEED,,12,3,492,3,0,KT,0-1024,1,+/-3 OR +/- 6
TRACK ANGLE TRUE - FMC,S,12,3,189,1,0,DEG,+/- 180,0.35156,
WIND SPEED - FMC,,12,4,243,0,0,KT,0-256,0.5,+/-2
WIND DIRECTION TRUE - FMCBNR,S,12,3,115,0,0,DEG,+/-180,0.3515625,+/-2
DRIFT ANGLE - FMC,S,12,3,178,0,0,DEG,+/-45,0.087890625, +/-2
FLIGHT PATH ANGLE,S,12,3,436,0,0,DEG,+/-180,0.3515625,+/-2
DME DISTANCE-RT,,12,3,443,0,0,NM,0-256,0.25,+/-0.1
CONT REG #2,,12,8,381,2,0,,0-32,1,N/A
CONT REG #2,,12,8,381,4,0,,0-32,1,N/A
CONT REG #1,,12,8,125,2,0,,0-32,1,N/A
CONT REG #1,,12,8,125,4,0,,0-32,1,N/A
SELECTED VBV POSITION #2,S,12,2,50,4,0,DEG,+/-180,0.17578125,N/A
SELECTED VBV POSITION #1,S,12,2,50,2,0,DEG,+/-180,0.17578125,N/A
SELECTED VSV POSITION #2,S,12,2,50,3,0,DEG,+/-180,0.17578125,N/A
SELECTED VSV POSITION #1,S,12,2,50,1,0,DEG,+/-180,0.17578125,N/A
HYD OIL PRESSURE SYS A,,12,3,52,0,0,PSI,4096,4,N/A
HYDRAULIC OIL QTY SYS A,,12,3,69,4,0,%FULL,0-128,0.125,N/A
HYDRAULIC OIL QTY SYS B,,12,3,325,4,0,%FULL,0-128,0.125,N/A
LT ENG N1 TACHOMETER,,12,3,69,1,0,%RPM,0-128,0.125,N/A
DAC FUEL MOD VALVE SEL #2,S,12,3,505,2,0,%,+/-128,0.25,N/A
DAC FUEL MOD VALVE SEL #1,S,12,3,505,1,0,%,+/-128,0.25,N/A
RT ENG N1 TACHOMETER,,12,3,325,1,0,%RPM,0-128,0.125,N/A
LT ENG N2 TACHOMETER,,12,3,69,3,0,%RPM,0-128,0.125,N/A
RT ENG N2 TACHOMETER,,12,3,325,3,0,%RPM,0-128,0.125,N/A
DAC STAGING MODE #2,,12,8,481,2,0,,0-32,1,N/A
DAC STAGING MODE #2,,12,8,481,4,0,,0-32,1,N/A
DAC STAGING MODE #1,,12,8,481,1,0,,0-32,1,N/A
DAC STAGING MODE #1,,12,8,481,3,0,,0-32,1,N/A
ENG OIL QTY #1,,11,3,256,3,0,QT,0-128,0.25,N/A
FUEL AIR RATIO STA 36 #2,,12,3,323,3,0,,0-0.125,0.00012207,N/A
FUEL AIR RATIO STA 36 #1,,12,3,323,1,0,,0-0.125,0.00012207,N/A
ENG OIL QTY #2,,11,3,512,3,0,QT,0-128,0.25,N/A
COMBUSTOR SEVERITY #2,,12,3,189,4,0,PSI^2/PP S,2048,2,N/A
COMBUSTOR SEVERITY #1,,12,3,189,3,0,PSI^2/PP S,2048,2,N/A
SELECTED P0 #2,,12,2,61,3,4,PSIA,0-32,0.015625,N/A
SELECTED P0 #1,,12,2,61,3,3,PSIA,0-32,0.015625,N/A
SELECTED TAT #2,S,12,2,61,3,6,DEG C,+/-128,0.125,N/A
SELECTED TAT #1,S,12,2,61,3,5,DEG C,+/-128,0.125,N/A
SELECTED TRA FILTERED #2,,12,3,114,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #2,,12,3,242,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #2,,12,3,370,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #2,,12,3,498,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #1,,12,3,113,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #1,,12,3,241,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #1,,12,3,369,0,0,DEG,0-180,0.17578125,N/A
SELECTED TRA FILTERED #1,,12,3,497,0,0,DEG,0-180,0.17578125,N/A
RADIO HEIGHT - DISPLAYED - MSP,,2,1,129,0,0,FT,6144-0,2048,N/A
RADIO HEIGHT - DISPLAYED - LSP,S,12,1,128,0,0,FT,+/-2048,1,N/A
CAPT DISP LOCALIZER DEV / AZIMUTH,S,12,3,120,0,0,DDM,+/-0.4,0.00078125,N/A
CAPT DISP GLIDESLOPE DEV / ELEVATION,S,12,3,121,0,0,DDM,+/-0.4,0.00078125,N/A
CALCULATED MACH NO. #2,,12,2,499,3,0,MACH,0-4.096,0.002,N/A
CALCULATED MACH NO. #1,,12,2,257,3,0,MACH,0-4.096,0.002,N/A
SELECTED PT2 #2,,12,2,61,3,2,MB,0-2048,1,N/A
